DBpedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBpedia_Company_56,http://dbpedia.org/resource/Pike_Place_Fish_Market,http://dbpedia.org/resource/Seattle,United States of America,,1930,http://dbpedia.org/resource/Seafood,,,
DBpedia_Company_57,http://dbpedia.org/resource/CompuServe,,,,1969,http://dbpedia.org/resource/Internet,,,
DBpedia_Company_58,http://dbpedia.org/resource/KORE_Wireless,"http://dbpedia.org/resource/Alpharetta,_Georgia",United StatesPakistan,Alex Brisbourne;;Chris Scatliff;;Richard Burston;;Terence Jarman,2003,http://dbpedia.org/resource/Telecommunication,,,
DBpedia_Company_59,http://dbpedia.org/resource/Busan_Transportation_Corporation,,,Tae-soo Bae,2006,http://dbpedia.org/resource/Rapid_transit,,,
DBpedia_Company_60,http://dbpedia.org/resource/Nautica_(clothing_company),,,,1983,,,,
DBpedia_Company_61,http://dbpedia.org/resource/Nullsoft,,,Tom Pepper;;http://dbpedia.org/resource/Justin_Frankel,1997,http://dbpedia.org/resource/Software,,,
DBpedia_Company_62,http://dbpedia.org/resource/Claire's,,,Beatrice Lafon,1961,http://dbpedia.org/resource/Retail,1.41E+09,17600,
DBpedia_Company_63,http://dbpedia.org/resource/Precision_Dynamics_Corporation,"http://dbpedia.org/resource/Valencia,_California",USA,Tracey Carpentier,1956,http://dbpedia.org/resource/Health_care_industry,,,
DBpedia_Company_64,http://dbpedia.org/resource/Toscotec,,,,1948,http://dbpedia.org/resource/Paper,,,
DBpedia_Company_65,http://dbpedia.org/resource/Swales_Aerospace,,,,1978,http://dbpedia.org/resource/Aerospace;;http://dbpedia.org/resource/Defense_industry,,,
DBpedia_Company_66,http://dbpedia.org/resource/Integral_Systems,"http://dbpedia.org/resource/Columbia,_Maryland",United States,"Paul Casner, Interim CEO;;Peter Gaffney, EVP;;William Bambarger, CFO",1982,http://dbpedia.org/resource/Communications_satellite;;http://dbpedia.org/resource/Military_communications;;http://dbpedia.org/resource/Satellite,1.60E+08,769,1.47E+08
DBpedia_Company_67,http://dbpedia.org/resource/Belgioioso_Cheese,,,,1979,http://dbpedia.org/resource/Food_processing,,,
DBpedia_Company_68,http://dbpedia.org/resource/Red_Man,,,,1904,http://dbpedia.org/resource/Chewing_tobacco,,,
DBpedia_Company_69,http://dbpedia.org/resource/Marquee_Inc.,,,,,,,,
DBpedia_Company_70,http://dbpedia.org/resource/Global_Hospitals_Group,,,"K. Ravindranath, Founder and Chairman",,,,5000,
DBpedia_Company_71,http://dbpedia.org/resource/Vozrozhdenie_Bank,,,"Dmitry Orlov,",1991,http://dbpedia.org/resource/Financial_services,2.70E+08,41992,5.70E+09
DBpedia_Company_72,http://dbpedia.org/resource/Tabu_Records,,,,,,,,
DBpedia_Company_73,http://dbpedia.org/resource/Staples_Advantage,,,"Shira Goodman ( President, North American Commercial)",1986;;1993,http://dbpedia.org/resource/Distribution_(business),2.31E+10,,
DBpedia_Company_74,http://dbpedia.org/resource/Centrax,,,,1946,http://dbpedia.org/resource/Gas_turbine,,,
DBpedia_Company_75,http://dbpedia.org/resource/Kaavo,,,http://www.kaavo.com/company/management,2007,http://dbpedia.org/resource/Cloud_computing,,,
DBpedia_Company_76,http://dbpedia.org/resource/Joseph_Fauchier,http://dbpedia.org/resource/Marseille,France,,1710,,,,
DBpedia_Company_77,http://dbpedia.org/resource/Iris_Ohyama,,,Kentaro Ohyama,1971,,6.85E+10,2160,
DBpedia_Company_78,http://dbpedia.org/resource/Sprecher_Brewery,,,,1985,http://dbpedia.org/resource/Alcoholic_beverage,,,
DBpedia_Company_79,http://dbpedia.org/resource/I&M_Bank_(Rwanda),,,Irwin William Carlisle;;Sanjeev Anand;;http://dbpedia.org/resource/Chairman;;http://dbpedia.org/resource/Chief_executive_officer,1963,http://dbpedia.org/resource/Financial_services,3920000,250,1.98E+08
DBpedia_Company_80,http://dbpedia.org/resource/Majordomo_Records,,,,,,,,
DBpedia_Company_81,http://dbpedia.org/resource/Melior_Discovery,,,,2005,http://dbpedia.org/resource/Biotechnology,,,
DBpedia_Company_82,http://dbpedia.org/resource/SIMPLE_Group,Gibraltar,Gibraltar,http://dbpedia.org/resource/Chairman;;http://dbpedia.org/resource/Chief_executive_officer;;http://dbpedia.org/resource/Fabien_B%C3%A9n%C3%A9dicte_Suant;;http://dbpedia.org/resource/Stephen_Kurphy_(CEO),1999,,4500000,,
DBpedia_Company_83,http://dbpedia.org/resource/Delahaye,,,,1895,http://dbpedia.org/resource/Manufacturing,,,
DBpedia_Company_84,http://dbpedia.org/resource/Maykor,,,"Sergey Sulgin, president",2010,,,5000,
DBpedia_Company_85,http://dbpedia.org/resource/BIP_(brewery),http://dbpedia.org/resource/Belgrade,http://dbpedia.org/resource/Serbia,Milivoje Dragani_,1839;;1998,http://dbpedia.org/resource/Drink,1.25E+07,541,2.25E+07
DBpedia_Company_86,http://dbpedia.org/resource/Sunny_Unit,,,,,,,,
DBpedia_Company_87,http://dbpedia.org/resource/LENA_Foundation,,,Terrance and Judith Paul,2009,,,,
DBpedia_Company_88,http://dbpedia.org/resource/Starmind_International,http://dbpedia.org/resource/Z%C3%BCrich,Switzerland,,2010,http://dbpedia.org/resource/Software,,,
DBpedia_Company_89,http://dbpedia.org/resource/AST_(publisher),,,,1993,,,,
DBpedia_Company_90,http://dbpedia.org/resource/Y%C5%ABgen_gaisha,,,,,,,,
DBpedia_Company_91,http://dbpedia.org/resource/Meica,http://dbpedia.org/resource/Edewecht,http://dbpedia.org/resource/Germany,,1908,http://dbpedia.org/resource/Food,,,
DBpedia_Company_92,http://dbpedia.org/resource/Jefferies_Group,,,Brian P. Friedman;;http://dbpedia.org/resource/Richard_B._Handler,1962,http://dbpedia.org/resource/Investment,3416,3885,44764
DBpedia_Company_93,http://dbpedia.org/resource/Lava_Records,,,,1995,,,,
DBpedia_Company_94,http://dbpedia.org/resource/CBS_Records_(2006),,,,2006,,,,
