DBPedia_Company_ID,company,locationCity,locationCountry,keyPeople,foundingYear,industry,revenue,numberOfEmployees,asset
DBPedia_Company_43,http://dbpedia.org/resource/2K_Sports,"http://dbpedia.org/resource/California;;http://dbpedia.org/resource/Novato,_California",http://dbpedia.org/resource/United_States,"Christoph Hartmann , David Ismailer",2005,http://dbpedia.org/resource/Interactive_entertainment;;http://dbpedia.org/resource/Video_game_industry,,,
DBPedia_Company_44,http://dbpedia.org/resource/2Spot_Communications,Bangkok,Thailand,Kris Nalamlieng,,,,,
DBPedia_Company_45,http://dbpedia.org/resource/2U_(company),Landover,USA,"Chip Paucek , Robert Cohen , Catherine Graham , James Kenigsberg , Jeff Rinehart",,,,800,
DBPedia_Company_46,http://dbpedia.org/resource/2wink,Perth,Australia,,,,,,
DBPedia_Company_47,http://dbpedia.org/resource/2X_Software,http://dbpedia.org/resource/G%C5%BCira,http://dbpedia.org/resource/Malta,,2005,http://dbpedia.org/resource/Information_technology;;http://dbpedia.org/resource/Software,,,
DBPedia_Company_48,http://dbpedia.org/resource/2XL_Games,"http://dbpedia.org/resource/Arizona;;http://dbpedia.org/resource/Phoenix,_Arizona",http://dbpedia.org/resource/United_States,,2005,http://dbpedia.org/resource/Video_game_developer,,,
DBPedia_Company_49,http://dbpedia.org/resource/2XU,http://dbpedia.org/resource/Melbourne;;http://dbpedia.org/resource/Victoria_(Australia),http://dbpedia.org/resource/Australia,,2005,,,,
DBPedia_Company_50,http://dbpedia.org/resource/38_Studios,"http://dbpedia.org/resource/Providence,_Rhode_Island;;http://dbpedia.org/resource/Rhode_Island",United States,Curt Schilling Jennifer MacLean R. A. Salvatore Todd McFarlane Bill Thomas,,http://dbpedia.org/resource/Video_game_industry,,,
DBPedia_Company_51,http://dbpedia.org/resource/3ality_Technica,"http://dbpedia.org/resource/Burbank,_California",United States,"Gari Ann Douglass, Chief Financial Officer / Chief Operating Officer;;Steve Schklair, Founder, Chief Executive Officer",,http://dbpedia.org/resource/Entertainment_technology,,,
DBPedia_Company_52,http://dbpedia.org/resource/3D_Realms,"http://dbpedia.org/resource/Garland,_Texas;;http://dbpedia.org/resource/Texas",http://dbpedia.org/resource/United_States,Becky Taylor;;Mike Nielsen;;http://dbpedia.org/resource/Frederik_Schreiber;;http://dbpedia.org/resource/George_Broussard;;http://dbpedia.org/resource/Scott_Miller_(entrepreneur),1987,http://dbpedia.org/resource/Interactive_entertainment;;http://dbpedia.org/resource/Video_game_industry,,,
DBPedia_Company_53,http://dbpedia.org/resource/3D_Systems,"http://dbpedia.org/resource/Rock_Hill,_South_Carolina;;http://dbpedia.org/resource/South_Carolina",U.S.,Avi Reichental;;Chuck Hull;;Ping Fu;;Will.I.Am,1986,,2.30E+08,1000,4.63E+08
DBPedia_Company_54,http://dbpedia.org/resource/3Dconnexion,http://dbpedia.org/resource/Munich,http://dbpedia.org/resource/Germany,,2001,,,,
